epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1110408753156662,2.0490763187408447,0.001,0.08460403233766556,2.0608580112457275
1,0.14875684678554535,2.0114269256591797,0.001,0.12985734641551971,2.033665180206299
2,0.18805310130119324,1.9794076681137085,0.001,0.2390555888414383,2.011862277984619
3,0.2344079166650772,1.953108310699463,0.001,0.2813575863838196,1.9945883750915527
4,0.25168561935424805,1.9319616556167603,0.001,0.28775209188461304,1.9809556007385254
5,0.26411715149879456,1.914099097251892,0.001,0.291195273399353,1.970328688621521
6,0.2650653123855591,1.8991239070892334,0.001,0.2970978915691376,1.9620072841644287
7,0.2694900929927826,1.884582281112671,0.001,0.2975897789001465,1.9557223320007324
8,0.27149179577827454,1.877469778060913,0.001,0.29955729842185974,1.9509499073028564
9,0.27075430750846863,1.8667612075805664,0.001,0.29955729842185974,1.947374701499939
10,0.2747576832771301,1.85895836353302,0.001,0.29955729842185974,1.9447039365768433
11,0.2741255760192871,1.853528380393982,0.001,0.29955729842185974,1.94272780418396
12,0.27675938606262207,1.846897006034851,0.001,0.29955729842185974,1.9414008855819702
13,0.27570584416389465,1.8426063060760498,0.001,0.29955729842185974,1.940463662147522
14,0.27581119537353516,1.8387826681137085,0.001,0.29955729842185974,1.940016269683838
15,0.27675938606262207,1.8335942029953003,0.001,0.29955729842185974,1.9396933317184448
16,0.27633798122406006,1.8315438032150269,0.001,0.29955729842185974,1.9396531581878662
17,0.27591654658317566,1.829164981842041,0.001,0.29955729842185974,1.939701795578003
18,0.2774968445301056,1.8268355131149292,0.001,0.29955729842185974,1.9399149417877197
19,0.27665403485298157,1.821907639503479,0.001,0.29955729842185974,1.9401506185531616
20,0.2768647372722626,1.8196369409561157,0.001,0.29955729842185974,1.9404590129852295
21,0.2777075469493866,1.818576693534851,0.001,0.29955729842185974,1.940868616104126
22,0.2770754396915436,1.8169965744018555,0.001,0.29955729842185974,1.9412884712219238
23,0.2776021957397461,1.814524531364441,0.001,0.29955729842185974,1.9416661262512207
24,0.2780236005783081,1.813364863395691,0.001,0.29955729842185974,1.9420362710952759
25,0.2781289517879486,1.8129749298095703,0.001,0.29955729842185974,1.9424331188201904
26,0.2773914933204651,1.8102238178253174,0.001,0.29955729842185974,1.9427520036697388
