epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.27907711267471313,1.797827959060669,0.001,0.30004918575286865,1.925935983657837
1,0.29150864481925964,1.7752512693405151,0.001,0.3064436912536621,1.90938401222229
2,0.3106826841831207,1.7495530843734741,0.001,0.3167732357978821,1.8933861255645752
3,0.3372313380241394,1.7303024530410767,0.001,0.33103787899017334,1.89057195186615
4,0.3563000559806824,1.715345025062561,0.001,0.3413674235343933,1.869156837463379
5,0.37189212441444397,1.7023571729660034,0.001,0.34677815437316895,1.8510874509811401
6,0.38316476345062256,1.6902798414230347,0.001,0.3482538163661957,1.8447093963623047
7,0.3919089734554291,1.6747572422027588,0.001,0.35120511054992676,1.8374063968658447
8,0.3958069980144501,1.6648023128509521,0.001,0.35071322321891785,1.8247263431549072
9,0.39886221289634705,1.6541529893875122,0.001,0.3536645472049713,1.820481777191162
10,0.4011799395084381,1.6407065391540527,0.001,0.35415640473365784,1.8110759258270264
11,0.4011799395084381,1.6311697959899902,0.001,0.35415640473365784,1.8009709119796753
12,0.4042351543903351,1.621803641319275,0.001,0.35022133588790894,1.817283272743225
13,0.4052886664867401,1.6095541715621948,0.001,0.3521888852119446,1.801347255706787
14,0.4053940176963806,1.6007758378982544,0.001,0.30693554878234863,1.8519686460494995
15,0.40739569067955017,1.5894593000411987,0.001,0.3482538163661957,1.7964614629745483
16,0.41118836402893066,1.5812599658966064,0.001,0.3521888852119446,1.781654953956604
17,0.41129371523857117,1.5681015253067017,0.001,0.35464829206466675,1.7702020406723022
18,0.4042351543903351,1.5666065216064453,0.001,0.3492375910282135,1.7815712690353394
19,0.41129371523857117,1.5547327995300293,0.001,0.35464829206466675,1.7637832164764404
20,0.4115044176578522,1.546828031539917,0.001,0.3487457036972046,1.7733759880065918
21,0.4122418761253357,1.5377697944641113,0.001,0.3497294783592224,1.7622005939483643
22,0.41455963253974915,1.526124119758606,0.001,0.2828332483768463,1.8638951778411865
23,0.4134007692337036,1.5196053981781006,0.001,0.3526807725429535,1.7452020645141602
24,0.4164559543132782,1.5068495273590088,0.001,0.3536645472049713,1.7399314641952515
25,0.4128740131855011,1.50496506690979,0.001,0.35415640473365784,1.7364561557769775
26,0.41519173979759216,1.4911268949508667,0.001,0.3521888852119446,1.7433691024780273
27,0.4178255498409271,1.4824392795562744,0.001,0.35120511054992676,1.7397843599319458
28,0.4138221740722656,1.4750267267227173,0.001,0.3285784423351288,1.7848399877548218
29,0.41529709100723267,1.4674328565597534,0.001,0.3531726598739624,1.727530598640442
30,0.4161399006843567,1.460622787475586,0.001,0.35169699788093567,1.7227048873901367
31,0.4177201986312866,1.4468146562576294,0.001,0.3492375910282135,1.7253670692443848
32,0.4174041152000427,1.4410701990127563,0.001,0.34776192903518677,1.724592924118042
33,0.41803625226020813,1.4344426393508911,0.001,0.35415640473365784,1.7151951789855957
34,0.4174041152000427,1.4220340251922607,0.001,0.34382686018943787,1.7276679277420044
35,0.4165613055229187,1.4172967672348022,0.001,0.3379242420196533,1.7465382814407349
36,0.4172987639904022,1.4104008674621582,0.001,0.35464829206466675,1.7138577699661255
37,0.4157184958457947,1.4032131433486938,0.001,0.3457943797111511,1.723480224609375
38,0.4167720079421997,1.3993762731552124,0.001,0.3561239540576935,1.702686071395874
39,0.4200379252433777,1.3830174207687378,0.001,0.34628626704216003,1.7113382816314697
40,0.4172987639904022,1.3821932077407837,0.001,0.3492375910282135,1.7125500440597534
41,0.44943109154701233,1.3726977109909058,0.001,0.35120511054992676,1.7045583724975586
42,0.4564896821975708,1.370242953300476,0.001,0.35514017939567566,1.6986221075057983
43,0.4612305164337158,1.3655868768692017,0.001,0.3487457036972046,1.7262046337127686
44,0.4688158333301544,1.3490058183670044,0.001,0.33890801668167114,1.7193174362182617
45,0.46713021397590637,1.354524850845337,0.001,0.35022133588790894,1.7030283212661743
46,0.47008007764816284,1.3451107740402222,0.001,0.33546483516693115,1.7177737951278687
47,0.4719763994216919,1.3363524675369263,0.001,0.34235119819641113,1.7063897848129272
48,0.47366201877593994,1.329452395439148,0.001,0.3575996160507202,1.6988272666931152
49,0.4717656970024109,1.3268647193908691,0.001,0.3448106348514557,1.702478289604187
