epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5770122408866882,0.6815332770347595,0.001,0.5887850522994995,0.6735112071037292
1,0.5822798013687134,0.6747369170188904,0.001,0.5966551899909973,0.6588681936264038
2,0.5945006608963013,0.663118839263916,0.001,0.6060009598731995,0.638722836971283
3,0.6191529631614685,0.6461350321769714,0.001,0.6512542963027954,0.6171392202377319
4,0.6408554315567017,0.6231531500816345,0.001,0.6645351648330688,0.595537006855011
5,0.6636114716529846,0.6039679646492004,0.001,0.6645351648330688,0.5864729881286621
6,0.6773071885108948,0.5882295966148376,0.001,0.6674864888191223,0.5956836342811584
7,0.6926885843276978,0.578271210193634,0.001,0.6586325764656067,0.5949011445045471
8,0.7084913849830627,0.5617452263832092,0.001,0.627643883228302,0.6330478191375732
9,0.7168141603469849,0.544967532157898,0.001,0.7348745465278625,0.5168619155883789
10,0.7293510437011719,0.5317334532737732,0.001,0.7029021382331848,0.5510663390159607
11,0.75368732213974,0.5107617378234863,0.001,0.6640433073043823,0.6031768321990967
12,0.7562157511711121,0.5003340840339661,0.001,0.7456960082054138,0.5009384751319885
13,0.7712810635566711,0.4801439940929413,0.001,0.7594687938690186,0.48678556084632874
14,0.7764433026313782,0.4680073857307434,0.001,0.777176558971405,0.4715052843093872
15,0.7870838642120361,0.45080143213272095,0.001,0.7471716403961182,0.5021052360534668
16,0.7971976399421692,0.4327145516872406,0.001,0.7220855951309204,0.5327244400978088
17,0.8076274991035461,0.41304486989974976,0.001,0.7963600754737854,0.4549599885940552
18,0.8197429180145264,0.3996630609035492,0.001,0.7978357076644897,0.432486891746521
19,0.8215339183807373,0.3869255781173706,0.001,0.7983275651931763,0.4321310222148895
20,0.8343868255615234,0.3709762692451477,0.001,0.8047220706939697,0.4136790633201599
21,0.8380741477012634,0.3561151921749115,0.001,0.777176558971405,0.4668199419975281
22,0.8551411628723145,0.34111055731773376,0.001,0.7816035151481628,0.4731284976005554
23,0.8591445684432983,0.3246303200721741,0.001,0.7565174698829651,0.4969748258590698
24,0.8653603196144104,0.3160502314567566,0.001,0.815543532371521,0.41223597526550293
25,0.8703118562698364,0.3044719398021698,0.001,0.8042302131652832,0.45004743337631226
26,0.8769490122795105,0.29146045446395874,0.001,0.825873076915741,0.38873717188835144
27,0.8854824900627136,0.2749358117580414,0.001,0.5676340460777283,1.222973108291626
28,0.8916983008384705,0.2623794674873352,0.001,0.8199704885482788,0.43364953994750977
29,0.8983354568481445,0.2505236566066742,0.001,0.8101328015327454,0.437933087348938
30,0.9024441838264465,0.23407290875911713,0.001,0.7983275651931763,0.47581568360328674
31,0.9026548862457275,0.22956417500972748,0.001,0.8194786310195923,0.4647475481033325
32,0.9129793643951416,0.21619544923305511,0.001,0.7579931020736694,0.5829044580459595
33,0.9132953882217407,0.21134024858474731,0.001,0.7786522507667542,0.507780909538269
34,0.9203540086746216,0.2000931054353714,0.001,0.7550418376922607,0.5503613352775574
35,0.9265697598457336,0.18808846175670624,0.001,0.801770806312561,0.5159178972244263
36,0.9303624033927917,0.17660334706306458,0.001,0.8253812193870544,0.46971750259399414
37,0.9344711303710938,0.16626323759555817,0.001,0.7466797828674316,0.8056306838989258
38,0.9379477500915527,0.16026577353477478,0.001,0.8347269892692566,0.43927112221717834
39,0.9423725008964539,0.15400563180446625,0.001,0.808657169342041,0.5130077600479126
40,0.9413189888000488,0.14843150973320007,0.001,0.8460403084754944,0.40724483132362366
41,0.9471133351325989,0.13341304659843445,0.001,0.8312838077545166,0.4707983136177063
42,0.9517488479614258,0.1273282766342163,0.001,0.805213987827301,0.5690343976020813
43,0.9549093842506409,0.12266529351472855,0.001,0.8366945385932922,0.5101697444915771
44,0.9557521939277649,0.11574619263410568,0.001,0.8243974447250366,0.5392740964889526
45,0.9560682773590088,0.11480177938938141,0.001,0.8180029392242432,0.5547283291816711
46,0.9632322192192078,0.10111864656209946,0.001,0.8248893022537231,0.5679715275764465
47,0.9636536240577698,0.09704717248678207,0.001,0.8357107639312744,0.5631111860275269
48,0.9636536240577698,0.09521680325269699,0.001,0.663551390171051,1.2190577983856201
49,0.9639696478843689,0.09488043189048767,0.001,0.8057058453559875,0.6393384337425232
50,0.969763994216919,0.08422965556383133,0.001,0.8111165761947632,0.6549963355064392
51,0.9721871018409729,0.07595779001712799,0.001,0.8180029392242432,0.5968501567840576
52,0.977981448173523,0.0694640576839447,0.001,0.8460403084754944,0.5389495491981506
53,0.9743995070457458,0.07000314444303513,0.001,0.829316258430481,0.5692902207374573
54,0.9770333170890808,0.06251585483551025,0.001,0.84112149477005,0.560688316822052
55,0.9770333170890808,0.06433333456516266,0.001,0.832759439945221,0.5575830340385437
56,0.9815634489059448,0.05412045493721962,0.001,0.8499754071235657,0.5781596899032593
